year,provinsi,kota/kabupaten,luas,rth,%rth(b/a),cluster,latitude,longitude
2022,DKI Jakarta,Kota Adm. Jakarta Barat,124.4,0.02,0.02,1,-6.161,106.758
2022,DKI Jakarta,Kab. Adm. Kep. Seribu,8.7,290.63,33.41,2,-5.783,106.7
2022,DKI Jakarta,Kota Adm. Jakarta Selatan,141.27,326.88,2.31,0,-6.261,106.81
2022,DKI Jakarta,Kota Adm. Jakarta Pusat,48.13,0.84,1.74,1,-6.208,106.845
2022,DKI Jakarta,Kota Adm. Jakarta Timur,182.7,0.01,0.01,1,-6.242,106.877
2022,DKI Jakarta,Kota Adm. Jakarta Utara,140.0,0.83,0.59,1,-6.133,106.883
